solr-1.node,1.1.1.1:8983_solr
coll22_shard1_0_1_0_replica1,8.8M,5.7GB
coll22_shard1_1_0_0_replica2,8.8M,5.7GB
coll63_shard1_0_replica1,17.6M,9.5GB
coll63_shard1_1_replica1,12.1M,7.1GB
coll23_shard1_0_1_0_0_replica1,14.7M,13.8GB
coll23_shard1_0_1_0_1_replica1,14.8M,15.2GB
coll26_shard1_1_0_0_replica1,7.8M,7.2GB
coll26_shard1_1_0_1_replica1,7.9M,5.8GB
coll64_shard1_replica1,8.1M,10.9GB
coll65_shard1_replica1,14.0M,9.2GB
coll66_shard1_replica1,5.1M,2.7GB
coll67_shard1_1_replica2,6.7M,4.6GB
coll68_shard1_replica2,3.0M,1.9GB
coll2B_shard1_0_1_0_replica1,6.1M,3.0GB
coll2B_shard1_0_1_1_replica1,6.1M,2.9GB
coll2C_shard1_0_1_0_0_replica1,8.4M,6.3GB
coll2C_shard1_0_1_0_1_replica1,8.3M,6.2GB
coll2E_shard1_1_0_replica1,8.0M,5.1GB
coll2E_shard1_1_1_replica1,7.9M,5.6GB
coll69_shard1_replica1,2.4M,1.6GB
coll2F_shard1_0_0_1_1_replica2,5.9M,4.3GB
coll2F_shard1_0_1_0_0_replica1,6.0M,3.7GB
coll6A_shard1_replica1,3.6M,1.8GB
coll6B_shard1_replica1,1.1M,839MB
coll6C_shard1_replica1,2.3M,1.1GB
coll6D_shard1_0_0_replica1,12.5M,3.4GB
coll6D_shard1_0_1_replica1,13.0M,3.6GB
coll31_shard1_0_1_1_0_0_replica1,7.9M,7.2GB
coll31_shard1_0_1_1_0_1_replica1,7.9M,7.3GB
coll31_shard1_0_1_1_1_1_replica1,8.3M,7.3GB
coll31_shard1_1_0_0_0_0_replica1,7.7M,7.2GB
coll32_shard1_0_1_0_0_0_replica1,10.9M,6.2GB
coll32_shard1_0_1_0_0_1_replica1,11.8M,6.7GB
coll32_shard1_0_1_0_1_0_replica1,11.1M,6.4GB
coll32_shard1_0_1_0_1_1_replica1,11.6M,6.5GB
coll6E_shard1_0_0_replica1,2.2M,1.5GB
coll6E_shard1_0_1_replica1,2.5M,2.0GB
coll34_shard1_0_1_1_replica2,9.0M,5.5GB
coll35_shard1_0_1_0_0_replica1,4.5M,2.7GB
coll35_shard1_0_1_0_1_replica1,4.6M,2.3GB
coll37_shard1_1_0_0_replica1,4.2M,7.2GB
coll37_shard1_1_0_1_replica1,4.2M,5.1GB
coll37_shard1_1_1_0_replica1,4.2M,7.2GB
coll37_shard1_1_1_1_replica1,4.2M,7.2GB
coll38_shard1_1_0_0_replica1,5.3M,2.5GB
coll38_shard1_1_0_1_replica1,5.3M,2.6GB
coll38_shard1_1_1_replica1,10.6M,6.8GB
coll6F_shard1_0_replica1,2.4M,2.9GB
coll6F_shard1_1_0_0_0_replica1,450K,464MB
coll6F_shard1_1_0_0_1_replica1,17.2M,13.8GB
coll6F_shard1_1_0_1_replica1,687K,614MB
coll6F_shard1_1_1_replica1,1.4M,1.4GB
coll70_shard1_replica2,2.4M,1.8GB
coll3A_shard1_1_0_0_0_replica1,7.5M,3.8GB
coll3A_shard1_1_0_0_1_replica1,7.7M,3.9GB
coll71_shard1_replica1,5.9M,3.3GB
coll3C_shard1_0_1_0_0_replica1,10.9M,7.2GB
coll3C_shard1_0_1_0_1_replica1,10.3M,8.8GB
coll72_shard1_0_replica2,2.3M,1.5GB
coll73_shard1_replica1,2.1M,1.1GB
coll74_shard1_0_0_replica1,8.3M,5.5GB
coll74_shard1_0_1_replica1,8.2M,5.4GB
coll74_shard1_1_0_replica1,8.3M,5.5GB
coll74_shard1_1_1_replica1,8.2M,5.5GB
coll75_shard1_replica1,927K,535MB
coll3D_shard1_0_replica2,6.4M,5.7GB
coll76_shard1_0_0_replica1,2.3M,1.9GB
coll76_shard1_0_1_replica2,2.2M,1.9GB
coll3E_shard1_0_0_0_0_replica1,6.3M,5.8GB
coll3E_shard1_0_0_0_1_replica1,5.9M,4.2GB
coll77_shard1_1_replica2,3.1M,1.8GB
coll78_shard1_0_0_replica1,11.6M,9.8GB
coll78_shard1_0_1_replica1,11.8M,9.9GB
coll3F_shard1_1_0_0_replica1,4.9M,4.6GB
coll3F_shard1_1_0_1_replica1,4.9M,3.3GB
coll3F_shard1_1_1_0_replica1,4.9M,4.5GB
coll3F_shard1_1_1_1_replica1,4.8M,4.4GB
coll79_shard1_replica1,15.0M,9.7GB
solr-3.node,3.3.3.3:8983_solr
coll7A_shard1_0_replica1,16.6M,9.8GB
coll7B_shard1_replica2,4.3M,2.5GB
coll7C_shard1_replica2,29.6K,34.4MB
coll7D_shard1_replica2,362K,416MB
coll7E_shard1_replica2,6.9M,3.9GB
coll7F_shard1_0_replica2,10.2M,5.8GB
collE_shard1_1_0_0_replica1,4.6M,3.6GB
collE_shard1_1_0_1_replica1,4.8M,3.0GB
coll80_shard1_replica2,13.9M,10.8GB
coll81_shard1_replica2,894K,2.6GB
coll13_shard1_1_0_0_replica2,11.4M,4.8GB
coll82_shard1_replica2,8.6M,6.0GB
coll15_shard1_0_1_0_0_0_replica1,5.4M,7.2GB
coll15_shard1_0_1_0_0_1_replica1,5.7M,6.5GB
coll15_shard1_0_1_0_1_0_replica1,5.6M,3.3GB
coll15_shard1_0_1_0_1_1_replica1,5.6M,5.0GB
coll83_shard1_replica1,9.2M,5.4GB
coll17_shard1_1_0_0_replica1,7.9M,4.8GB
coll17_shard1_1_0_1_replica1,7.8M,4.8GB
coll84_shard1_replica1,5.6M,5.5GB
coll85_shard1_replica2,3.2M,1.5GB
coll86_shard1_replica1,3.8M,2.9GB
coll19_shard1_1_0_0_replica1,10.9M,6.0GB
coll19_shard1_1_0_1_replica1,8.9M,7.4GB
coll19_shard1_1_1_0_replica1,9.5M,5.3GB
coll19_shard1_1_1_1_replica1,10.0M,5.5GB
coll87_shard1_replica1,1.6M,1.1GB
coll88_shard1_replica1,969K,1001MB
coll89_shard1_0_replica1,6.6M,4.6GB
coll89_shard1_1_replica1,6.5M,4.5GB
coll8A_shard1_0_0_0_replica1,11.1M,5.8GB
coll8A_shard1_0_0_1_replica1,12.0M,6.2GB
coll8A_shard1_1_0_0_replica1,11.9M,6.3GB
coll8A_shard1_1_0_1_replica1,11.9M,5.4GB
coll8B_shard1_0_replica1,6.1M,5.9GB
coll8B_shard1_1_replica1,6.1M,6.1GB
coll8C_shard1_replica1,993K,1.0GB
coll22_shard1_0_1_1_replica1,8.8M,5.7GB
coll22_shard1_1_0_1_replica1,8.7M,8.0GB
coll23_shard1_1_0_0_0_replica1,14.6M,12.2GB
coll23_shard1_1_0_0_1_replica1,14.6M,13.0GB
coll26_shard1_0_1_0_replica1,9.5M,7.9GB
coll26_shard1_0_1_1_replica1,8.3M,7.5GB
coll8D_shard1_replica1,2.3M,1.3GB
coll67_shard1_0_replica2,6.2M,4.3GB
coll2B_shard1_1_0_0_replica1,6.0M,3.6GB
coll2B_shard1_1_0_1_replica1,6.6M,3.2GB
coll8E_shard1_replica1,3.0M,1.2GB
